Algoritmo; Capacidade Máxima; Nome do Arquivo
First_Fit_Decreasing;1000;dataSet76_Schwerin_tamanho1000

Caixas:
200;200;200;200;200
200;199;199;198;198
197;197;197;196;196
196;196;196;195;195
195;195;195;194;194
194;194;193;193;192
191;191;190;190;190
189;189;188;188;187
187;186;186;186;185
184;184;183;183;183
183;182;182;182;182
182;181;177;177;177
176;176;175;175;175
175;175;174;174;173
173;173;172;172;172
171;171;170;169;169;150
168;168;167;167;167;163
166;166;165;165;165;164
162;161;161;161;161;160
159;158;158;158;158;157
156;156;156;155;153;153
152;152;152;152;151;151
